"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment","SMD"
"L1","0850","8.357mm","19.685mm","8.35mm","19.685mm","8.35mm","16.235mm","T","90","10UH","True"
"S1","button","6.452mm","37.465mm","6.445mm","37.465mm","6.445mm","33.94mm","T","90","KEY_2P","True"
"K1","switch","11.684mm","10.211mm","13.684mm","12.446mm","13.684mm","12.446mm","T","270","BUTTON","False"
"Y2","R38","17.501mm","37.338mm","17.494mm","37.338mm","17.494mm","38.888mm","T","360","XTAL_32.768K","False"
"Y1","xtal","11.532mm","29.87mm","11.525mm","32.385mm","11.525mm","32.385mm","T","270","XTAL_8M","False"
"USB1","MICRO USB","33.477mm","5.918mm","33.496mm","5.924mm","32.28mm","7.138mm","T","360","MICRO USB","True"
"U3","SOT23-6_M","18.339mm","14.808mm","18.322mm","14.802mm","19.272mm","16.002mm","T","270","PS7516","True"
"U2","M16A_N","23.978mm","52.451mm","23.971mm","52.451mm","21.571mm","56.896mm","T","0","CD4051BCM","True"
"U1","SOT-23-CT5_L","33.731mm","14.732mm","33.75mm","14.732mm","34.7mm","15.932mm","T","270","PW4054","True"
"R20","6-0805_L","23.978mm","44.323mm","23.971mm","44.323mm","23.971mm","45.123mm","T","270","10K","True"
"R19","6-0805_L","28.296mm","44.323mm","28.289mm","44.323mm","28.289mm","45.123mm","T","270","10K","True"
"R18","6-0805_L","15.469mm","21.971mm","15.462mm","21.971mm","15.462mm","22.771mm","T","270","100k","True"
"R17","6-0805_L","17.882mm","18.415mm","17.875mm","18.415mm","18.675mm","18.415mm","T","180","525K","True"
"R16","6-0805_L","17.475mm","48.768mm","17.494mm","48.768mm","16.694mm","48.768mm","T","360","10K","True"
"R15","6-0805_L","17.475mm","53.416mm","17.494mm","53.425mm","16.694mm","53.425mm","T","360","10K","True"
"R14","6-0805_L","17.475mm","51.105mm","17.494mm","51.096mm","16.694mm","51.096mm","T","360","10K","True"
"R13","6-0805_L","17.475mm","55.753mm","17.494mm","55.753mm","16.694mm","55.753mm","T","360","10K","True"
"R12","6-0805_L","30.683mm","48.514mm","30.664mm","48.514mm","31.464mm","48.514mm","T","180","10K","True"
"R11","6-0805_L","30.683mm","56.134mm","30.664mm","56.134mm","31.464mm","56.134mm","T","180","10K","True"
"R10","6-0805_L","30.683mm","53.594mm","30.664mm","53.594mm","29.864mm","53.594mm","T","360","10K","True"
"R9","6-0805_L","30.683mm","51.054mm","30.664mm","51.054mm","31.464mm","51.054mm","T","180","10K","True"
"R8","6-0805_L","38.811mm","18.034mm","38.824mm","18.034mm","38.024mm","18.034mm","T","360","330","True"
"R7","6-0805_L","39.243mm","14.224mm","39.243mm","14.224mm","39.243mm","13.424mm","T","90","330","True"
"R6","6-0805_L","59.284mm","11.074mm","59.277mm","11.087mm","59.277mm","10.287mm","T","90","1K","True"
"R5","6-0805_L","51.816mm","17.907mm","51.816mm","17.907mm","51.016mm","17.907mm","T","360","1K","True"
"R4","6-0805_L","26.137mm","44.323mm","26.13mm","44.323mm","26.13mm","45.123mm","T","270","10K","True"
"R3","6-0805_L","14.58mm","32.106mm","14.573mm","32.093mm","14.573mm","31.293mm","T","90","10M","True"
"R2","6-0805_L","16.891mm","30.353mm","16.891mm","30.353mm","16.891mm","31.153mm","T","270","10K","True"
"R1","6-0805_L","26.137mm","16.713mm","26.13mm","16.726mm","26.13mm","17.526mm","T","270","10K","True"
"J14","HDR1X7","58.547mm","29.21mm","58.547mm","21.59mm","58.547mm","21.59mm","T","90","CON7","False"
"J9","HDR1X7","58.547mm","49.403mm","58.547mm","41.783mm","58.547mm","41.783mm","T","90","CON7","False"
"J13","HDR1X7","54mm","29.21mm","54.007mm","21.59mm","54.007mm","21.59mm","T","90","CON7","False"
"J8","HDR1X7","54mm","49.403mm","54.007mm","41.783mm","54.007mm","41.783mm","T","90","CON7","False"
"J12","HDR1X7","49.479mm","29.21mm","49.467mm","21.59mm","49.467mm","21.59mm","T","90","CON7","False"
"J7","HDR1X7","49.479mm","49.403mm","49.467mm","41.783mm","49.467mm","41.783mm","T","90","CON7","False"
"J11","HDR1X7","44.933mm","29.21mm","44.926mm","21.59mm","44.926mm","21.59mm","T","90","CON7","False"
"J6","HDR1X7","44.933mm","49.403mm","44.926mm","41.783mm","44.926mm","41.783mm","T","90","CON7","False"
"J10","HDR1X7","40.386mm","29.21mm","40.386mm","21.59mm","40.386mm","21.59mm","T","90","CON7","False"
"J5","HDR1X7","40.386mm","49.403mm","40.386mm","41.783mm","40.386mm","41.783mm","T","90","CON7","False"
"J4","HDR1X2","23.597mm","7.493mm","24.86mm","7.493mm","24.86mm","7.493mm","T","180","BAT","False"
"J3","HDR1X4","6.579mm","48.895mm","6.572mm","52.705mm","6.572mm","52.705mm","T","270","MPU6050","False"
"J2","HDR1X4","14.224mm","4.064mm","10.414mm","4.064mm","10.414mm","4.064mm","T","360","А¶СА","False"
"J1","HDR1X4","46.609mm","3.937mm","42.799mm","3.937mm","42.799mm","3.937mm","T","360","CON4","False"
"IC2","SOT-23-5","47.117mm","13.462mm","47.117mm","13.462mm","45.817mm","14.412mm","T","360","MIC5205-3.3","True"
"IC1","LQFP48","27.788mm","29.337mm","27.781mm","29.337mm","23.581mm","32.087mm","T","360","STM32F103C8T6","True"
"D3","6-0805_M","40.386mm","9.525mm","40.386mm","9.525mm","39.386mm","9.525mm","T","360","LED_Green","True"
"D2","6-0805_M","59.157mm","15.113mm","59.15mm","15.113mm","59.15mm","16.113mm","T","270","LED_Blue","True"
"D1","6-0805_M","55.347mm","15.494mm","55.34mm","15.478mm","55.34mm","14.478mm","T","90","LED_Red","True"
"C17","6-0805_L","19.406mm","9.271mm","19.399mm","9.271mm","20.199mm","9.271mm","T","180","22uf","True"
"C16","6-0805_L","19.406mm","11.303mm","19.399mm","11.303mm","20.199mm","11.303mm","T","180","0.1uf","True"
"C15","6-0805_L","23.851mm","15.088mm","23.844mm","15.075mm","23.844mm","15.875mm","T","270","0.1uF","True"
"C14","6-0805_L","21.692mm","15.088mm","21.685mm","15.075mm","21.685mm","15.875mm","T","270","10uF","True"
"C13","6-0805_L","47.117mm","8.255mm","47.117mm","8.255mm","46.317mm","8.255mm","T","360","470pF","True"
"C12","6-0805_L","46.838mm","18.542mm","46.831mm","18.542mm","46.031mm","18.542mm","T","360","2.2uF","True"
"C11","6-0805_L","27.915mm","12.7mm","27.908mm","12.7mm","27.908mm","13.5mm","T","270","0.1uf","True"
"C10","C0805","29.947mm","12.7mm","29.94mm","12.7mm","29.94mm","11.95mm","T","90","1uF","True"
"C9","6-0805_L","13.31mm","35.687mm","13.303mm","35.687mm","12.503mm","35.687mm","T","360","22pF","True"
"C8","6-0805_L","13.36mm","38.989mm","13.341mm","38.989mm","12.541mm","38.989mm","T","360","22pF","True"
"C7","6-0805_L","15.291mm","24.765mm","15.297mm","24.765mm","16.097mm","24.765mm","T","180","22pF","True"
"C6","6-0805_L","14.58mm","28.6mm","14.573mm","28.613mm","14.573mm","27.813mm","T","90","22pF","True"
"C5","6-0805_L","6.833mm","29.21mm","6.826mm","29.21mm","6.826mm","28.41mm","T","90","0.1uf","True"
"C4","6-0805_L","51.867mm","14.453mm","51.873mm","14.446mm","51.073mm","14.446mm","T","360","0.1uf","True"
"C3","6-0805_L","51.867mm","12.065mm","51.873mm","12.065mm","51.073mm","12.065mm","T","360","0.1uf","True"
"C2","6-0805_L","51.867mm","9.677mm","51.873mm","9.684mm","51.073mm","9.684mm","T","360","1uf","True"
"C1","6-0805_L","51.867mm","7.315mm","51.873mm","7.303mm","51.073mm","7.303mm","T","360","0.1uf","True"
